"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Alpine County, California!!Estimate","Alpine County, California!!Margin of Error","Alpine County, California!!Percent","Alpine County, California!!Percent Margin of Error","Amador County, California!!Estimate","Amador County, California!!Margin of Error","Amador County, California!!Percent","Amador County, California!!Percent Margin of Error","Butte County, California!!Estimate","Butte County, California!!Margin of Error","Butte County, California!!Percent","Butte County, California!!Percent Margin of Error","Calaveras County, California!!Estimate","Calaveras County, California!!Margin of Error","Calaveras County, California!!Percent","Calaveras County, California!!Percent Margin of Error","Colusa County, California!!Estimate","Colusa County, California!!Margin of Error","Colusa County, California!!Percent","Colusa County, California!!Percent Margin of Error","Contra Costa County, California!!Estimate","Contra Costa County, California!!Margin of Error","Contra Costa County, California!!Percent","Contra Costa County, California!!Percent Margin of Error","Del Norte County, California!!Estimate","Del Norte County, California!!Margin of Error","Del Norte County, California!!Percent","Del Norte County, California!!Percent Margin of Error","El Dorado County, California!!Estimate","El Dorado County, California!!Margin of Error","El Dorado County, California!!Percent","El Dorado County, California!!Percent Margin of Error","Fresno County, California!!Estimate","Fresno County, California!!Margin of Error","Fresno County, California!!Percent","Fresno County, California!!Percent Margin of Error","Glenn County, California!!Estimate","Glenn County, California!!Margin of Error","Glenn County, California!!Percent","Glenn County, California!!Percent Margin of Error","Humboldt County, California!!Estimate","Humboldt County, California!!Margin of Error","Humboldt County, California!!Percent","Humboldt County, California!!Percent Margin of Error","Imperial County, California!!Estimate","Imperial County, California!!Margin of Error","Imperial County, California!!Percent","Imperial County, California!!Percent Margin of Error","Inyo County, California!!Estimate","Inyo County, California!!Margin of Error","Inyo County, California!!Percent","Inyo County, California!!Percent Margin of Error","Kern County, California!!Estimate","Kern County, California!!Margin of Error","Kern County, California!!Percent","Kern County, California!!Percent Margin of Error","Kings County, California!!Estimate","Kings County, California!!Margin of Error","Kings County, California!!Percent","Kings County, California!!Percent Margin of Error","Lake County, California!!Estimate","Lake County, California!!Margin of Error","Lake County, California!!Percent","Lake County, California!!Percent Margin of Error","Lassen County, California!!Estimate","Lassen County, California!!Margin of Error","Lassen County, California!!Percent","Lassen County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Madera County, California!!Estimate","Madera County, California!!Margin of Error","Madera County, California!!Percent","Madera County, California!!Percent Margin of Error","Marin County, California!!Estimate","Marin County, California!!Margin of Error","Marin County, California!!Percent","Marin County, California!!Percent Margin of Error","Mariposa County, California!!Estimate","Mariposa County, California!!Margin of Error","Mariposa County, California!!Percent","Mariposa County, California!!Percent Margin of Error","Mendocino County, California!!Estimate","Mendocino County, California!!Margin of Error","Mendocino County, California!!Percent","Mendocino County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Modoc County, California!!Estimate","Modoc County, California!!Margin of Error","Modoc County, California!!Percent","Modoc County, California!!Percent Margin of Error","Mono County, California!!Estimate","Mono County, California!!Margin of Error","Mono County, California!!Percent","Mono County, California!!Percent Margin of Error","Monterey County, California!!Estimate","Monterey County, California!!Margin of Error","Monterey County, California!!Percent","Monterey County, California!!Percent Margin of Error","Napa County, California!!Estimate","Napa County, California!!Margin of Error","Napa County, California!!Percent","Napa County, California!!Percent Margin of Error","Nevada County, California!!Estimate","Nevada County, California!!Margin of Error","Nevada County, California!!Percent","Nevada County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Placer County, California!!Estimate","Placer County, California!!Margin of Error","Placer County, California!!Percent","Placer County, California!!Percent Margin of Error","Plumas County, California!!Estimate","Plumas County, California!!Margin of Error","Plumas County, California!!Percent","Plumas County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","Sacramento County, California!!Estimate","Sacramento County, California!!Margin of Error","Sacramento County, California!!Percent","Sacramento County, California!!Percent Margin of Error","San Benito County, California!!Estimate","San Benito County, California!!Margin of Error","San Benito County, California!!Percent","San Benito County, California!!Percent Margin of Error","San Bernardino County, California!!Estimate","San Bernardino County, California!!Margin of Error","San Bernardino County, California!!Percent","San Bernardino County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","San Francisco County, California!!Estimate","San Francisco County, California!!Margin of Error","San Francisco County, California!!Percent","San Francisco County, California!!Percent Margin of Error","San Joaquin County, California!!Estimate","San Joaquin County, California!!Margin of Error","San Joaquin County, California!!Percent","San Joaquin County, California!!Percent Margin of Error","San Luis Obispo County, California!!Estimate","San Luis Obispo County, California!!Margin of Error","San Luis Obispo County, California!!Percent","San Luis Obispo County, California!!Percent Margin of Error","San Mateo County, California!!Estimate","San Mateo County, California!!Margin of Error","San Mateo County, California!!Percent","San Mateo County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Santa Clara County, California!!Percent","Santa Clara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Sierra County, California!!Estimate","Sierra County, California!!Margin of Error","Sierra County, California!!Percent","Sierra County, California!!Percent Margin of Error","Siskiyou County, California!!Estimate","Siskiyou County, California!!Margin of Error","Siskiyou County, California!!Percent","Siskiyou County, California!!Percent Margin of Error","Solano County, California!!Estimate","Solano County, California!!Margin of Error","Solano County, California!!Percent","Solano County, California!!Percent Margin of Error","Sonoma County, California!!Estimate","Sonoma County, California!!Margin of Error","Sonoma County, California!!Percent","Sonoma County, California!!Percent Margin of Error","Stanislaus County, California!!Estimate","Stanislaus County, California!!Margin of Error","Stanislaus County, California!!Percent","Stanislaus County, California!!Percent Margin of Error","Sutter County, California!!Estimate","Sutter County, California!!Margin of Error","Sutter County, California!!Percent","Sutter County, California!!Percent Margin of Error","Tehama County, California!!Estimate","Tehama County, California!!Margin of Error","Tehama County, California!!Percent","Tehama County, California!!Percent Margin of Error","Trinity County, California!!Estimate","Trinity County, California!!Margin of Error","Trinity County, California!!Percent","Trinity County, California!!Percent Margin of Error","Tulare County, California!!Estimate","Tulare County, California!!Margin of Error","Tulare County, California!!Percent","Tulare County, California!!Percent Margin of Error","Tuolumne County, California!!Estimate","Tuolumne County, California!!Margin of Error","Tuolumne County, California!!Percent","Tuolumne County, California!!Percent Margin of Error","Ventura County, California!!Estimate","Ventura County, California!!Margin of Error","Ventura County, California!!Percent","Ventura County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error","Yuba County, California!!Estimate","Yuba County, California!!Margin of Error","Yuba County, California!!Percent","Yuba County, California!!Percent Margin of Error","ZCTA5 99641!!Estimate","ZCTA5 99641!!Margin of Error","ZCTA5 99641!!Percent","ZCTA5 99641!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","1,651,949","*****","1,651,949","(X)","1,695","±234","1,695","(X)","41,029","*****","41,029","(X)","209,470","*****","209,470","(X)","45,995","*****","45,995","(X)","21,895","*****","21,895","(X)","1,161,458","*****","1,161,458","(X)","27,293","*****","27,293","(X)","192,299","*****","192,299","(X)","1,012,152","*****","1,012,152","(X)","28,623","*****","28,623","(X)","135,418","*****","135,418","(X)","179,319","*****","179,319","(X)","18,803","*****","18,803","(X)","910,433","*****","910,433","(X)","152,830","*****","152,830","(X)","68,139","*****","68,139","(X)","31,177","*****","31,177","(X)","9,848,406","*****","9,848,406","(X)","158,790","*****","158,790","(X)","258,765","*****","258,765","(X)","17,060","*****","17,060","(X)","90,709","*****","90,709","(X)","285,597","*****","285,597","(X)","8,646","*****","8,646","(X)","13,169","*****","13,169","(X)","435,834","*****","435,834","(X)","136,070","*****","136,070","(X)","102,452","*****","102,452","(X)","3,164,063","*****","3,164,063","(X)","412,435","*****","412,435","(X)","19,607","*****","19,607","(X)","2,449,909","*****","2,449,909","(X)","1,584,047","*****","1,584,047","(X)","66,056","*****","66,056","(X)","2,187,816","*****","2,187,816","(X)","3,282,782","*****","3,282,782","(X)","836,321","*****","836,321","(X)","787,416","*****","787,416","(X)","281,486","*****","281,486","(X)","745,100","*****","745,100","(X)","443,975","*****","443,975","(X)","1,903,297","*****","1,903,297","(X)","266,021","*****","266,021","(X)","181,554","*****","181,554","(X)","2,731","±234","2,731","(X)","43,834","*****","43,834","(X)","450,824","*****","450,824","(X)","485,642","*****","485,642","(X)","552,250","*****","552,250","(X)","98,971","*****","98,971","(X)","65,520","*****","65,520","(X)","15,886","*****","15,886","(X)","475,774","*****","475,774","(X)","54,873","*****","54,873","(X)","838,259","*****","838,259","(X)","217,782","*****","217,782","(X)","83,079","*****","83,079","(X)","766","±166","766","(X)"
"        Male","819,520","*****","49.6%","*****","885","±148","52.2%","±4.8","22,409","±146","54.6%","±0.4","104,228","±86","49.8%","±0.1","22,864","±298","49.7%","±0.6","11,300","±320","51.6%","±1.5","571,170","±113","49.2%","±0.1","14,851","±198","54.4%","±0.7","96,171","±126","50.0%","±0.1","507,316","±104","50.1%","±0.1","14,673","±130","51.3%","±0.5","67,007","±179","49.5%","±0.1","92,096","±169","51.4%","±0.1","9,565","±157","50.9%","±0.8","463,861","±113","50.9%","±0.1","84,389","±160","55.2%","±0.1","34,198","±149","50.2%","±0.2","19,370","±145","62.1%","±0.5","4,879,286","*****","49.5%","*****","77,958","±187","49.1%","±0.1","127,100","±150","49.1%","±0.1","8,788","±202","51.5%","±1.2","44,983","±162","49.6%","±0.2","144,886","±72","50.7%","±0.1","4,246","±96","49.1%","±1.1","7,360","±202","55.9%","±1.5","221,676","±121","50.9%","±0.1","68,093","±118","50.0%","±0.1","50,594","±131","49.4%","±0.1","1,568,200","*****","49.6%","*****","202,878","±68","49.2%","±0.1","9,999","±233","51.0%","±1.2","1,228,321","±96","50.1%","±0.1","779,834","*****","49.2%","*****","33,282","±185","50.4%","±0.3","1,095,613","±204","50.1%","±0.1","1,660,156","*****","50.6%","*****","429,837","±183","51.4%","±0.1","394,479","±203","50.1%","±0.1","142,085","±159","50.5%","±0.1","371,214","±184","49.8%","±0.1","222,679","±165","50.2%","±0.1","970,000","±217","51.0%","±0.1","132,752","±95","49.9%","±0.1","89,611","±148","49.4%","±0.1","1,351","±171","49.5%","±4.5","21,900","±128","50.0%","±0.3","224,744","±120","49.9%","±0.1","238,817","±125","49.2%","±0.1","275,215","±81","49.8%","±0.1","49,693","±174","50.2%","±0.2","32,682","±181","49.9%","±0.3","7,776","±203","48.9%","±1.3","238,478","±137","50.1%","±0.1","28,254","±134","51.5%","±0.2","416,981","±73","49.7%","±0.1","106,025","±117","48.7%","±0.1","42,183","±211","50.8%","±0.3","356","±77","46.5%","±5.5"
"        Female","832,429","*****","50.4%","*****","810","±139","47.8%","±4.8","18,620","±146","45.4%","±0.4","105,242","±86","50.2%","±0.1","23,131","±298","50.3%","±0.6","10,595","±320","48.4%","±1.5","590,288","±113","50.8%","±0.1","12,442","±198","45.6%","±0.7","96,128","±126","50.0%","±0.1","504,836","±104","49.9%","±0.1","13,950","±130","48.7%","±0.5","68,411","±179","50.5%","±0.1","87,223","±169","48.6%","±0.1","9,238","±157","49.1%","±0.8","446,572","±113","49.1%","±0.1","68,441","±160","44.8%","±0.1","33,941","±149","49.8%","±0.2","11,807","±145","37.9%","±0.5","4,969,120","*****","50.5%","*****","80,832","±187","50.9%","±0.1","131,665","±150","50.9%","±0.1","8,272","±202","48.5%","±1.2","45,726","±162","50.4%","±0.2","140,711","±72","49.3%","±0.1","4,400","±96","50.9%","±1.1","5,809","±202","44.1%","±1.5","214,158","±121","49.1%","±0.1","67,977","±118","50.0%","±0.1","51,858","±131","50.6%","±0.1","1,595,863","*****","50.4%","*****","209,557","±68","50.8%","±0.1","9,608","±233","49.0%","±1.2","1,221,588","±96","49.9%","±0.1","804,213","*****","50.8%","*****","32,774","±185","49.6%","±0.3","1,092,203","±204","49.9%","±0.1","1,622,626","*****","49.4%","*****","406,484","±183","48.6%","±0.1","392,937","±203","49.9%","±0.1","139,401","±159","49.5%","±0.1","373,886","±184","50.2%","±0.1","221,296","±165","49.8%","±0.1","933,297","±217","49.0%","±0.1","133,269","±95","50.1%","±0.1","91,943","±148","50.6%","±0.1","1,380","±163","50.5%","±4.5","21,934","±128","50.0%","±0.3","226,080","±120","50.1%","±0.1","246,825","±125","50.8%","±0.1","277,035","±81","50.2%","±0.1","49,278","±174","49.8%","±0.2","32,838","±181","50.1%","±0.3","8,110","±203","51.1%","±1.3","237,296","±137","49.9%","±0.1","26,619","±134","48.5%","±0.2","421,278","±73","50.3%","±0.1","111,757","±117","51.3%","±0.1","40,896","±211","49.2%","±0.3","410","±108","53.5%","±5.5"
"        Sex ratio (males per 100 females)","98.4","*****","(X)","(X)","109.3","±21.4","(X)","(X)","120.3","±1.7","(X)","(X)","99.0","±0.2","(X)","(X)","98.8","±2.6","(X)","(X)","106.7","±6.4","(X)","(X)","96.8","±0.1","(X)","(X)","119.4","±3.5","(X)","(X)","100.0","±0.3","(X)","(X)","100.5","±0.1","(X)","(X)","105.2","±1.9","(X)","(X)","97.9","±0.5","(X)","(X)","105.6","±0.4","(X)","(X)","103.5","±3.5","(X)","(X)","103.9","±0.1","(X)","(X)","123.3","±0.5","(X)","(X)","100.8","±0.9","(X)","(X)","164.1","±3.2","(X)","(X)","98.2","*****","(X)","(X)","96.4","±0.5","(X)","(X)","96.5","±0.2","(X)","(X)","106.2","±5.0","(X)","(X)","98.4","±0.7","(X)","(X)","103.0","±0.1","(X)","(X)","96.5","±4.3","(X)","(X)","126.7","±7.9","(X)","(X)","103.5","±0.1","(X)","(X)","100.2","±0.3","(X)","(X)","97.6","±0.5","(X)","(X)","98.3","*****","(X)","(X)","96.8","±0.1","(X)","(X)","104.1","±5.0","(X)","(X)","100.6","±0.1","(X)","(X)","97.0","*****","(X)","(X)","101.6","±1.1","(X)","(X)","100.3","±0.1","(X)","(X)","102.3","*****","(X)","(X)","105.7","±0.1","(X)","(X)","100.4","±0.1","(X)","(X)","101.9","±0.2","(X)","(X)","99.3","±0.1","(X)","(X)","100.6","±0.1","(X)","(X)","103.9","±0.1","(X)","(X)","99.6","±0.1","(X)","(X)","97.5","±0.3","(X)","(X)","97.9","±17.4","(X)","(X)","99.8","±1.2","(X)","(X)","99.4","±0.1","(X)","(X)","96.8","±0.1","(X)","(X)","99.3","±0.1","(X)","(X)","100.8","±0.7","(X)","(X)","99.5","±1.1","(X)","(X)","95.9","±4.9","(X)","(X)","100.5","±0.1","(X)","(X)","106.1","±1.0","(X)","(X)","99.0","±0.1","(X)","(X)","94.9","±0.2","(X)","(X)","103.1","±1.0","(X)","(X)","86.8","±20.0","(X)","(X)"
"        Under 5 years","88,228","*****","5.3%","*****","161","±85","9.5%","±4.6","1,587","±64","3.9%","±0.2","11,053","±31","5.3%","±0.1","1,850","±78","4.0%","±0.2","1,458","±142","6.7%","±0.6","62,580","*****","5.4%","*****","1,400","±90","5.1%","±0.3","8,711","±90","4.5%","±0.1","72,049","±87","7.1%","±0.1","1,851","±40","6.5%","±0.1","6,455","±127","4.8%","±0.1","12,999","±167","7.2%","±0.1","933","±30","5.0%","±0.2","65,691","±64","7.2%","±0.1","11,068","±6","7.2%","±0.1","3,740","±113","5.5%","±0.2","1,474","±50","4.7%","±0.2","518,797","*****","5.3%","*****","10,763","±156","6.8%","±0.1","11,472","±49","4.4%","±0.1","570","±53","3.3%","±0.3","4,887","±78","5.4%","±0.1","20,595","±70","7.2%","±0.1","409","±53","4.7%","±0.6","684","±217","5.2%","±1.6","28,880","±39","6.6%","±0.1","6,221","±74","4.6%","±0.1","4,121","±136","4.0%","±0.1","170,215","*****","5.4%","*****","20,738","±19","5.0%","±0.1","836","±64","4.3%","±0.3","145,266","*****","5.9%","*****","95,165","*****","6.0%","*****","4,229","±89","6.4%","±0.1","142,401","*****","6.5%","*****","187,443","*****","5.7%","*****","35,279","±113","4.2%","±0.1","52,015","*****","6.6%","*****","12,377","±162","4.4%","±0.1","38,822","±46","5.2%","±0.1","26,949","±133","6.1%","±0.1","101,451","±215","5.3%","±0.1","12,077","±51","4.5%","±0.1","9,945","±24","5.5%","±0.1","0","±14","0.0%","±1.5","2,094","±99","4.8%","±0.2","25,947","*****","5.8%","*****","22,837","±64","4.7%","±0.1","37,447","*****","6.8%","*****","6,217","±52","6.3%","±0.1","3,836","±97","5.9%","±0.1","680","±137","4.3%","±0.9","35,008","±45","7.4%","±0.1","2,414","±95","4.4%","±0.2","44,886","±40","5.4%","±0.1","10,781","±123","5.0%","±0.1","6,099","±7","7.3%","±0.1","103","±39","13.4%","±3.6"
"        5 to 9 years","91,717","±1,746","5.6%","±0.1","83","±39","4.9%","±2.2","1,712","±264","4.2%","±0.6","12,251","±620","5.8%","±0.3","2,174","±310","4.7%","±0.7","1,718","±198","7.8%","±0.9","69,098","±1,689","5.9%","±0.1","1,556","±334","5.7%","±1.2","9,999","±599","5.2%","±0.3","77,601","±1,766","7.7%","±0.2","1,725","±281","6.0%","±1.0","7,389","±496","5.5%","±0.4","13,565","±941","7.6%","±0.5","1,022","±164","5.4%","±0.9","71,981","±1,808","7.9%","±0.2","9,706","±671","6.4%","±0.4","4,312","±499","6.3%","±0.7","1,496","±179","4.8%","±0.6","551,031","±4,492","5.6%","±0.1","11,889","±690","7.5%","±0.4","13,754","±793","5.3%","±0.3","1,022","±147","6.0%","±0.9","5,565","±422","6.1%","±0.5","22,993","±1,118","8.1%","±0.4","525","±146","6.1%","±1.7","528","±166","4.0%","±1.3","31,424","±1,053","7.2%","±0.2","6,888","±399","5.1%","±0.3","4,742","±433","4.6%","±0.4","178,274","±2,509","5.6%","±0.1","24,287","±879","5.9%","±0.2","931","±179","4.7%","±0.9","162,328","±2,624","6.6%","±0.1","98,262","±1,735","6.2%","±0.1","4,529","±409","6.9%","±0.6","152,379","±2,752","7.0%","±0.1","187,793","±3,054","5.7%","±0.1","31,103","±978","3.7%","±0.1","54,459","±1,611","6.9%","±0.2","13,456","±659","4.8%","±0.2","39,083","±1,160","5.2%","±0.2","25,922","±1,040","5.8%","±0.2","107,000","±2,046","5.6%","±0.1","13,754","±714","5.2%","±0.3","11,062","±605","6.1%","±0.3","89","±65","3.3%","±2.3","2,197","±201","5.0%","±0.5","27,301","±1,143","6.1%","±0.3","25,642","±1,167","5.3%","±0.2","39,601","±1,274","7.2%","±0.2","7,502","±629","7.6%","±0.6","4,787","±428","7.3%","±0.7","762","±241","4.8%","±1.5","39,320","±1,444","8.3%","±0.3","2,620","±317","4.8%","±0.6","50,108","±1,476","6.0%","±0.2","12,519","±574","5.7%","±0.3","7,148","±612","8.6%","±0.7","112","±36","14.6%","±2.8"
"        10 to 14 years","94,521","±1,746","5.7%","±0.1","56","±30","3.3%","±1.8","1,857","±259","4.5%","±0.6","12,086","±622","5.8%","±0.3","2,124","±305","4.6%","±0.7","1,647","±182","7.5%","±0.8","78,046","±1,689","6.7%","±0.1","1,839","±301","6.7%","±1.1","11,808","±579","6.1%","±0.3","85,566","±1,739","8.5%","±0.2","2,552","±287","8.9%","±1.0","7,365","±513","5.4%","±0.4","15,919","±918","8.9%","±0.5","1,188","±167","6.3%","±0.9","79,503","±1,816","8.7%","±0.2","13,851","±683","9.1%","±0.4","4,245","±495","6.2%","±0.7","1,627","±175","5.2%","±0.6","620,771","±4,492","6.3%","±0.1","13,059","±674","8.2%","±0.4","15,363","±789","5.9%","±0.3","747","±162","4.4%","±0.9","5,421","±436","6.0%","±0.5","24,747","±1,111","8.7%","±0.4","483","±144","5.6%","±1.7","810","±160","6.2%","±1.2","33,285","±1,044","7.6%","±0.2","8,490","±406","6.2%","±0.3","5,422","±423","5.3%","±0.4","202,381","±2,509","6.4%","±0.1","28,638","±880","6.9%","±0.2","948","±191","4.8%","±1.0","181,182","±2,624","7.4%","±0.1","108,721","±1,735","6.9%","±0.1","5,002","±412","7.6%","±0.6","169,241","±2,752","7.7%","±0.1","202,121","±3,054","6.2%","±0.1","30,636","±984","3.7%","±0.1","65,272","±1,638","8.3%","±0.2","14,753","±633","5.2%","±0.2","43,754","±1,165","5.9%","±0.2","29,713","±1,065","6.7%","±0.2","117,962","±2,034","6.2%","±0.1","14,611","±712","5.5%","±0.3","11,562","±605","6.4%","±0.3","198","±82","7.3%","±2.9","2,996","±225","6.8%","±0.5","29,140","±1,162","6.5%","±0.3","27,674","±1,150","5.7%","±0.2","44,988","±1,275","8.1%","±0.2","6,825","±647","6.9%","±0.7","4,416","±442","6.7%","±0.7","968","±191","6.1%","±1.2","43,441","±1,450","9.1%","±0.3","2,686","±316","4.9%","±0.6","56,162","±1,477","6.7%","±0.2","13,133","±575","6.0%","±0.3","6,015","±606","7.2%","±0.7","74","±34","9.7%","±3.5"
"        15 to 19 years","96,042","±147","5.8%","±0.1","115","±58","6.8%","±3.0","1,776","±196","4.3%","±0.5","14,875","±140","7.1%","±0.1","2,310","±221","5.0%","±0.5","1,691","±114","7.7%","±0.5","75,475","±125","6.5%","±0.1","1,495","±163","5.5%","±0.6","11,121","±158","5.8%","±0.1","76,718","±84","7.6%","±0.1","2,107","±158","7.4%","±0.6","8,711","±222","6.4%","±0.2","13,844","±261","7.7%","±0.1","953","±97","5.1%","±0.5","70,981","±53","7.8%","±0.1","10,774","±188","7.0%","±0.1","3,801","±174","5.6%","±0.3","1,492","±112","4.8%","±0.4","611,334","*****","6.2%","*****","12,279","±286","7.7%","±0.2","16,115","±117","6.2%","±0.1","682","±110","4.0%","±0.6","5,177","±200","5.7%","±0.2","25,041","±200","8.8%","±0.1","412","±115","4.8%","±1.3","718","±261","5.5%","±2.0","32,977","±215","7.6%","±0.1","8,722","±121","6.4%","±0.1","4,854","±146","4.7%","±0.1","207,768","±73","6.6%","±0.1","25,981","±153","6.3%","±0.1","1,032","±138","5.3%","±0.7","177,679","±68","7.3%","±0.1","100,319","*****","6.3%","*****","4,698","±129","7.1%","±0.2","160,101","±103","7.3%","±0.1","205,961","±85","6.3%","±0.1","29,812","±151","3.6%","±0.1","58,798","±178","7.5%","±0.1","22,551","±367","8.0%","±0.1","41,188","±223","5.5%","±0.1","37,560","±544","8.5%","±0.1","121,505","±134","6.4%","±0.1","21,713","±281","8.2%","±0.1","10,594","±158","5.8%","±0.1","226","±99","8.3%","±3.3","2,487","±98","5.7%","±0.2","27,011","±102","6.0%","±0.1","29,435","±195","6.1%","±0.1","41,311","±163","7.5%","±0.1","7,076","±181","7.1%","±0.2","4,288","±106","6.5%","±0.2","811","±124","5.1%","±0.8","39,643","±171","8.3%","±0.1","2,654","±171","4.8%","±0.3","55,930","±122","6.7%","±0.1","21,105","±173","9.7%","±0.1","5,568","±148","6.7%","±0.2","58","±19","7.6%","±2.2"
"        20 to 24 years","91,539","±148","5.5%","±0.1","102","±73","6.0%","±4.2","1,593","±224","3.9%","±0.5","22,959","±161","11.0%","±0.1","1,843","±183","4.0%","±0.4","1,411","±73","6.4%","±0.3","65,271","±145","5.6%","±0.1","1,150","±200","4.2%","±0.7","8,828","±133","4.6%","±0.1","69,033","±54","6.8%","±0.1","1,762","±145","6.2%","±0.5","12,003","±210","8.9%","±0.2","12,410","±263","6.9%","±0.1","810","±181","4.3%","±1.0","63,467","±33","7.0%","±0.1","11,886","±215","7.8%","±0.1","3,106","±144","4.6%","±0.2","1,762","±204","5.7%","±0.7","634,504","*****","6.4%","*****","10,501","±285","6.6%","±0.2","12,108","±170","4.7%","±0.1","647","±127","3.8%","±0.7","4,468","±130","4.9%","±0.1","20,735","±175","7.3%","±0.1","379","±145","4.4%","±1.7","779","±283","5.9%","±2.1","29,994","±143","6.9%","±0.1","7,912","±93","5.8%","±0.1","4,086","±177","4.0%","±0.2","200,298","±73","6.3%","±0.1","20,690","±179","5.0%","±0.1","652","±132","3.3%","±0.7","160,879","±67","6.6%","±0.1","94,486","*****","6.0%","*****","4,148","±75","6.3%","±0.1","156,455","±102","7.2%","±0.1","230,329","±85","7.0%","±0.1","40,253","±139","4.8%","±0.1","52,027","±157","6.6%","±0.1","28,116","±355","10.0%","±0.1","39,100","±207","5.2%","±0.1","45,375","±523","10.2%","±0.1","117,193","±135","6.2%","±0.1","24,179","±326","9.1%","±0.1","9,404","±212","5.2%","±0.1","34","±26","1.2%","±0.9","1,877","±117","4.3%","±0.3","27,455","±162","6.1%","±0.1","26,353","±190","5.4%","±0.1","36,318","±212","6.6%","±0.1","6,083","±146","6.1%","±0.1","3,259","±76","5.0%","±0.1","369","±134","2.3%","±0.8","33,618","±216","7.1%","±0.1","2,577","±155","4.7%","±0.3","52,977","±101","6.3%","±0.1","29,965","±212","13.8%","±0.1","5,311","±183","6.4%","±0.2","68","±26","8.9%","±3.1"
