,,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
Alameda,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 192,510"," 91,294"," 37,359"," 6,108", 690," 1,681", 728, 19," 1,010"," 53,621"
,County Supervisorial 2," 178,797"," 99,149"," 23,837"," 4,718", 809," 1,190"," 1,080", 15, 897," 47,102"
,County Supervisorial 3," 177,728"," 107,962"," 17,620"," 4,402"," 1,246"," 1,198"," 1,356", 17," 1,068"," 42,859"
,County Supervisorial 4," 187,702"," 112,001"," 23,403"," 5,423"," 1,098"," 1,420"," 1,160", 6," 1,086"," 42,105"
,County Supervisorial 5," 208,378"," 151,723"," 8,097"," 3,524"," 2,377"," 1,030"," 1,292", 9," 1,233"," 39,093"
,,,,,,,,,,,
,US Congressional 10," 25,762"," 12,747"," 3,855", 683, 63, 152, 92, 1, 121," 8,048"
,US Congressional 12," 439,796"," 301,401"," 25,965"," 9,199"," 4,107"," 2,439"," 3,120", 29," 2,664"," 90,872"
,US Congressional 14," 419,488"," 218,067"," 71,480"," 12,833"," 1,818"," 3,589"," 2,152", 31," 2,236"," 107,282"
,US Congressional 17," 60,069"," 29,914"," 9,016"," 1,460", 232, 339, 252, 5, 273," 18,578"
,,,,,,,,,,,
,State Senate 5," 143,835"," 65,866"," 32,804"," 5,405", 462," 1,464", 442, 5, 781," 36,606"
,State Senate 7," 400,176"," 278,204"," 21,321"," 8,139"," 3,872"," 2,187"," 2,845", 27," 2,454"," 81,127"
,State Senate 9," 126,173"," 70,339"," 18,098"," 3,602", 682," 1,029", 830, 4, 696," 30,893"
,State Senate 10," 274,931"," 147,720"," 38,093"," 7,029"," 1,204"," 1,839"," 1,499", 30," 1,363"," 76,154"
,,,,,,,,,,,
,State Assembly 14," 129,707"," 96,096"," 5,437"," 1,932"," 1,398", 590, 554, 3, 695," 23,002"
,State Assembly 16," 116,406"," 52,882"," 27,041"," 4,399", 374," 1,198", 369, 4, 630," 29,509"
,State Assembly 18," 270,476"," 182,112"," 15,884"," 6,207"," 2,474"," 1,597"," 2,291", 24," 1,759"," 58,128"
,State Assembly 20," 282,768"," 157,623"," 40,346"," 8,133"," 1,394"," 2,191"," 1,809", 17," 1,529"," 69,726"
,State Assembly 24," 145,758"," 73,416"," 21,608"," 3,504", 580, 943, 593, 18, 681," 44,415"
,,,,,,,,,,,
,State Board of Equalization 2," 945,115"," 562,129"," 110,316"," 24,175"," 6,220"," 6,519"," 5,616", 66," 5,294"," 224,780"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Alameda," 51,533"," 32,315"," 5,347"," 1,229", 351, 393, 210, 4, 289," 11,395"
,Albany," 11,826"," 8,446", 604, 172, 133, 51, 41, 0, 53," 2,326"
,Berkeley," 72,488"," 54,332"," 2,148", 981, 924, 309, 382, 3, 397," 13,012"
,Dublin," 35,893"," 17,569"," 5,947"," 1,050", 95, 253, 118, 1, 177," 10,683"
,Emeryville," 6,892"," 4,764", 353, 151, 60, 35, 40, 1, 49," 1,439"
,Fremont," 119,658"," 59,481"," 17,486"," 2,737", 472, 762, 470, 16, 572," 37,662"
,Hayward," 81,511"," 47,446"," 10,166"," 2,323", 400, 608, 650, 8, 434," 19,476"
,Livermore," 56,819"," 25,158"," 15,192"," 2,499", 209, 715, 214, 3, 328," 12,501"
,Newark," 25,291"," 13,619"," 3,886", 730, 104, 168, 120, 2, 104," 6,558"
,Oakland," 248,553"," 172,358"," 11,948"," 5,460"," 2,360"," 1,360"," 2,162", 19," 1,630"," 51,256"
,Piedmont," 8,884"," 5,989", 921, 146, 44, 39, 10, 0, 36," 1,699"
,Pleasanton," 47,652"," 22,006"," 10,331"," 1,672", 145, 437, 99, 1, 249," 12,712"
,San Leandro," 50,705"," 29,142"," 6,301"," 1,381", 280, 323, 351, 2, 276," 12,649"
,Union City," 40,820"," 22,679"," 5,435"," 1,006", 182, 235, 209, 4, 217," 10,853"
,,,,,,,,,,,
,Unincorporated Area," 86,590"," 46,825"," 14,251"," 2,638", 461, 831, 540, 2, 483," 20,559"
Alameda Totals,," 945,115"," 562,129"," 110,316"," 24,175"," 6,220"," 6,519"," 5,616", 66," 5,294"," 224,780"
     Percent,,,59.48%,11.67%,2.56%,0.66%,0.69%,0.59%,0.01%,0.56%,23.78%
,,,,,,,,,,,
Alpine,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1, 193, 82, 46, 11, 3, 6, 0, 1, 3, 41
,County Supervisorial 2, 152, 74, 39, 4, 2, 3, 1, 0, 1, 28
,County Supervisorial 3, 137, 60, 16, 15, 1, 2, 2, 1, 0, 40
,County Supervisorial 4, 239, 124, 48, 8, 1, 2, 0, 0, 0, 56
,County Supervisorial 5, 220, 62, 69, 19, 1, 5, 0, 0, 4, 60
,,,,,,,,,,,
,US Congressional 3, 941, 402, 218, 57, 8, 18, 3, 2, 8, 225
,,,,,,,,,,,
,State Senate 4, 941, 402, 218, 57, 8, 18, 3, 2, 8, 225
,,,,,,,,,,,
,State Assembly 1, 941, 402, 218, 57, 8, 18, 3, 2, 8, 225
,,,,,,,,,,,
,State Board of Equalization 1, 941, 402, 218, 57, 8, 18, 3, 2, 8, 225
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Unincorporated Area, 941, 402, 218, 57, 8, 18, 3, 2, 8, 225
Alpine Totals,, 941, 402, 218, 57, 8, 18, 3, 2, 8, 225
     Percent,,,42.72%,23.17%,6.06%,0.85%,1.91%,0.32%,0.21%,0.85%,23.91%
,,,,,,,,,,,
Amador,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 4,924"," 1,372"," 2,336", 298, 16, 72, 13, 4, 21, 792
,County Supervisorial 2," 5,552"," 1,209"," 2,990", 330, 14, 125, 19, 5, 28, 832
,County Supervisorial 3," 4,918"," 1,354"," 2,288", 330, 40, 92, 16, 3, 13, 782
,County Supervisorial 4," 5,316"," 1,518"," 2,488", 319, 24, 106, 8, 5, 18, 830
,County Supervisorial 5," 5,216"," 1,357"," 2,536", 298, 33, 106, 27, 4, 28, 827
,,,,,,,,,,,
,US Congressional 5," 25,926"," 6,810"," 12,638"," 1,575", 127, 501, 83, 21, 108," 4,063"
,,,,,,,,,,,
,State Senate 4," 25,926"," 6,810"," 12,638"," 1,575", 127, 501, 83, 21, 108," 4,063"
,,,,,,,,,,,
,State Assembly 1," 19,528"," 5,428"," 9,165"," 1,190", 109, 369, 62, 16, 77," 3,112"
,State Assembly 9," 6,398"," 1,382"," 3,473", 385, 18, 132, 21, 5, 31, 951
,,,,,,,,,,,
,State Board of Equalization 1," 25,926"," 6,810"," 12,638"," 1,575", 127, 501, 83, 21, 108," 4,063"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Amador, 145, 76, 46, 4, 0, 1, 0, 0, 0, 18
,Ione," 3,684", 826," 1,946", 233, 9, 86, 13, 4, 24, 543
,Jackson," 3,049", 960," 1,328", 181, 11, 43, 7, 3, 12, 504
,Plymouth, 734, 183, 331, 45, 3, 17, 5, 0, 3, 147
,Sutter Creek," 1,805", 579, 768, 96, 9, 34, 1, 3, 6, 309
,,,,,,,,,,,
,Unincorporated Area," 16,509"," 4,186"," 8,219"," 1,016", 95, 320, 57, 11, 63," 2,542"
Amador Totals,," 25,926"," 6,810"," 12,638"," 1,575", 127, 501, 83, 21, 108," 4,063"
     Percent,,,26.27%,48.75%,6.07%,0.49%,1.93%,0.32%,0.08%,0.42%,15.67%
,,,,,,,,,,,
Butte,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 21,947"," 5,400"," 10,276"," 1,320", 91, 343, 162, 114, 65," 4,176"
,County Supervisorial 2," 25,852"," 9,624"," 9,205"," 1,249", 151, 445, 106, 165, 102," 4,805"
,County Supervisorial 3," 21,444"," 10,274"," 4,625", 958, 243, 371, 150, 265, 89," 4,469"
,County Supervisorial 4," 23,206"," 7,176"," 9,911"," 1,164", 131, 341, 133, 123, 81," 4,146"
,County Supervisorial 5," 28,269"," 9,037"," 11,290"," 1,655", 186, 535, 135, 155, 96," 5,180"
,,,,,,,,,,,
,US Congressional 1," 120,718"," 41,511"," 45,307"," 6,346", 802," 2,035", 686, 822, 433," 22,776"
,,,,,,,,,,,
,State Senate 1," 120,718"," 41,511"," 45,307"," 6,346", 802," 2,035", 686, 822, 433," 22,776"
,,,,,,,,,,,
,State Assembly 3," 120,718"," 41,511"," 45,307"," 6,346", 802," 2,035", 686, 822, 433," 22,776"
,,,,,,,,,,,
,State Board of Equalization 1," 120,718"," 41,511"," 45,307"," 6,346", 802," 2,035", 686, 822, 433," 22,776"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Biggs, 939, 253, 465, 46, 6, 10, 5, 4, 0, 150
,Chico," 56,408"," 24,402"," 15,659"," 2,638", 461," 1,013", 325, 517, 231," 11,162"
,Gridley," 3,459"," 1,186"," 1,314", 174, 18, 44, 21, 20, 11, 671
,Oroville," 9,155"," 2,597"," 3,648", 579, 48, 151, 94, 55, 30," 1,953"
,Paradise," 6,721"," 1,685"," 3,152", 408, 47, 133, 30, 34, 19," 1,213"
,,,,,,,,,,,
,Unincorporated Area," 44,036"," 11,388"," 21,069"," 2,501", 222, 684, 211, 192, 142," 7,627"
Butte Totals,," 120,718"," 41,511"," 45,307"," 6,346", 802," 2,035", 686, 822, 433," 22,776"
     Percent,,,34.39%,37.53%,5.26%,0.66%,1.69%,0.57%,0.68%,0.36%,18.87%
,,,,,,,,,,,
Calaveras,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 5,956"," 1,278"," 3,147", 388, 30, 113, 25, 21, 64, 890
,County Supervisorial 2," 6,357"," 1,665"," 2,882", 396, 42, 143, 34, 13, 82," 1,100"
,County Supervisorial 3," 6,718"," 2,332"," 2,524", 391, 48, 113, 33, 19, 85," 1,173"
,County Supervisorial 4," 6,991"," 1,667"," 3,531", 457, 35, 145, 23, 22, 71," 1,040"
