county,median_age,pct_white,pct_black,pct_native,pct_asian,pct_other,pct_hispanic
Alameda County,38.7,41.8,12.1,2.1,36.1,19.1,23.3
Alpine County,41.1,71.0,0.0,28.1,0.5,8.3,14.7
Amador County,49.9,89.0,3.7,5.0,3.6,12.3,15.5
Butte County,36.3,84.3,3.1,4.3,7.1,13.6,19.5
Calaveras County,52.0,91.6,1.6,3.8,3.2,10.8,13.9
Colusa County,35.7,70.6,2.1,3.2,2.1,42.1,62.3
Contra Costa County,40.3,56.4,10.8,2.6,22.4,22.6,27.3
Del Norte County,40.8,78.1,3.9,10.3,4.8,14.0,19.6
El Dorado County,46.1,88.8,1.7,2.5,7.5,8.9,14.2
Fresno County,33.2,61.6,6.0,3.1,12.8,38.1,54.1
Glenn County,35.9,74.0,1.0,3.8,3.4,32.5,44.1
Humboldt County,39.6,85.2,3.2,8.6,5.2,10.6,13.8
Imperial County,33.0,55.6,3.7,2.7,2.3,62.7,85.6
Inyo County,45.6,78.3,1.3,15.1,2.8,15.5,23.8
Kern County,32.4,69.8,6.7,2.9,6.5,36.1,55.7
Kings County,32.3,65.5,7.9,3.1,5.1,38.7,57.5
Lake County,44.2,80.2,3.7,6.6,2.5,19.1,23.8
Lassen County,37.8,82.7,9.5,5.1,2.6,13.7,22.5
Los Angeles County,37.9,50.9,9.4,2.7,17.2,37.0,48.3
Madera County,34.6,61.3,4.1,5.0,3.5,45.5,60.4
Marin County,47.3,80.5,3.6,1.9,9.0,15.8,19.0
Mariposa County,51.6,89.1,2.4,6.2,2.5,11.0,13.7
Mendocino County,43.9,84.8,1.7,6.8,3.1,20.6,26.9
Merced County,31.8,46.9,4.4,3.0,8.8,49.5,62.7
Modoc County,49.0,89.6,1.5,6.3,1.5,10.0,15.3
Mono County,40.3,89.6,0.5,6.8,3.6,16.1,26.7
Monterey County,35.3,49.0,3.4,2.5,7.7,51.1,61.0
Napa County,42.8,73.2,3.4,2.5,10.5,24.8,35.9
Nevada County,50.3,94.5,1.2,2.6,3.5,7.7,10.5
Orange County,39.1,60.4,2.7,2.0,25.0,25.0,34.1
Placer County,42.4,84.0,3.2,2.4,12.2,11.1,15.4
Plumas County,52.1,94.7,3.1,4.9,1.1,3.9,10.0
Riverside County,36.7,59.5,8.4,3.1,9.1,39.1,50.6
Sacramento County,37.2,58.8,13.0,3.1,20.9,17.4,24.0
San Benito County,35.9,76.9,1.9,4.5,6.7,43.7,61.7
San Bernardino County,34.4,56.4,10.1,3.0,10.0,39.5,54.6
San Diego County,37.1,70.0,6.6,2.5,15.6,23.6,34.3
San Francisco County,39.7,50.1,6.8,1.8,39.1,13.1,15.9
San Joaquin County,35.2,55.1,9.1,6.1,21.1,30.5,42.2
San Luis Obispo County,40.2,86.8,2.5,2.6,5.9,17.5,24.5
San Mateo County,40.6,52.2,3.3,2.2,34.4,19.6,24.9
Santa Barbara County,34.5,76.8,2.9,3.6,7.4,33.0,47.6
Santa Clara County,37.9,45.5,3.6,1.9,42.7,19.7,25.1
Santa Cruz County,39.6,75.8,2.3,3.0,7.0,26.3,35.0
Shasta County,41.7,90.7,2.4,5.1,5.0,8.3,11.3
Sierra County,56.0,93.7,0.3,2.6,0.0,6.7,9.6
Siskiyou County,47.4,90.1,2.7,7.6,3.2,7.6,13.1
Solano County,39.1,55.1,16.4,2.8,20.4,19.5,29.0
Sonoma County,42.7,77.5,2.9,3.7,6.6,23.3,29.4
Stanislaus County,34.8,73.3,4.3,3.3,7.9,35.6,49.2
Sutter County,36.4,65.3,3.7,4.3,20.0,22.9,32.4
Tehama County,40.1,84.4,1.6,5.0,2.5,22.7,28.2
Trinity County,54.8,88.6,1.1,5.6,2.9,9.4,5.9
Tulare County,31.9,63.3,2.2,3.3,4.6,48.4,66.1
Tuolumne County,48.8,91.0,2.3,4.4,2.9,8.2,13.2
Ventura County,39.4,78.7,3.2,3.3,9.6,26.6,43.8
Yolo County,32.3,69.9,4.3,2.8,18.7,21.0,33.2
Yuba County,33.9,76.1,7.0,5.7,10.4,18.6,30.0
ZCTA5 99641,23.4,1.4,0.0,99.6,0.0,0.4,1.7
