county,prop2_yes,prop2_no,prop3_yes,prop3_no,prop4_yes,prop4_no,prop5_yes,prop5_no,prop6_yes,prop6_no,prop32_yes,prop32_no,prop33_yes,prop33_no,prop34_yes,prop34_no,prop35_yes,prop35_no,prop36_yes,prop36_no,prop2_total,prop2_yes_pct,prop2_outcome,prop3_total,prop3_yes_pct,prop3_outcome,prop4_total,prop4_yes_pct,prop4_outcome,prop5_total,prop5_yes_pct,prop5_outcome,prop6_total,prop6_yes_pct,prop6_outcome,prop32_total,prop32_yes_pct,prop32_outcome,prop33_total,prop33_yes_pct,prop33_outcome,prop34_total,prop34_yes_pct,prop34_outcome,prop35_total,prop35_yes_pct,prop35_outcome,prop36_total,prop36_yes_pct,prop36_outcome,num_yes_props,prop2_matches_state,prop3_matches_state,prop4_matches_state,prop5_matches_state,prop6_matches_state,prop32_matches_state,prop33_matches_state,prop34_matches_state,prop35_matches_state,prop36_matches_state,match_state_count
Alameda,448649,196071,484349,162389,468343,177890,360323,278296,367681,259910,423122,217905,285722,345147,292675,321988,475327,158263,394629,246789,644720,0.6958819332423377,Yes,646738,0.7489106871716212,Yes,646233,0.7247277684674104,Yes,638619,0.5642221731580175,Yes,627591,0.5858608552385232,Yes,641027,0.6600689206538882,Yes,630869,0.4529022665561313,No,614663,0.476155226522501,No,633590,0.7502122823908206,Yes,641418,0.6152446610478658,Yes,8,1,1,1,0,0,0,1,0,1,1,6
Alpine,445,275,521,203,478,233,362,347,366,332,383,326,292,404,230,452,500,200,392,320,720,0.6180555555555556,Yes,724,0.7196132596685083,Yes,711,0.6722925457102672,Yes,709,0.5105782792665726,Yes,698,0.5243553008595988,Yes,709,0.5401974612129761,Yes,696,0.41954022988505746,No,682,0.33724340175953077,No,700,0.7142857142857143,Yes,712,0.550561797752809,Yes,8,1,1,1,0,0,0,1,0,1,1,6
Amador,9736,11766,9728,11687,8870,12677,5663,15732,5872,15328,6013,15567,5185,16011,10561,10316,13134,8279,16836,4686,21502,0.45279508882894615,No,21415,0.4542610319869251,No,21547,0.41165823548521835,No,21395,0.2646880112175742,No,21200,0.2769811320754717,No,21580,0.2786376274328082,No,21196,0.24462162672202303,No,20877,0.5058677012980792,Yes,21413,0.6133657124176902,Yes,21522,0.782269305826596,Yes,3,0,0,0,1,1,1,1,1,1,1,7
Butte,49504,41057,51240,39753,49123,42212,35285,54872,34788,54114,34697,57088,32395,57717,45070,41055,62621,27105,64491,25951,90561,0.546637073353872,Yes,90993,0.563120240018463,Yes,91335,0.5378332512180435,Yes,90157,0.3913728274010892,No,88902,0.39130728217587907,No,91785,0.3780247317099744,No,90112,0.3594970703125,No,86125,0.5233091436865022,Yes,89726,0.6979136482179078,Yes,90442,0.7130647265650915,Yes,6,1,1,1,1,1,1,1,1,1,1,10
Calaveras,10755,14732,11429,14014,10411,15164,6896,18461,7133,17873,7392,18113,5970,19143,12490,12044,15119,10037,19553,5866,25487,0.4219798328559658,No,25443,0.4492001729355815,No,25575,0.4070772238514174,No,25357,0.2719564617265449,No,25006,0.28525153963048866,No,25505,0.289825524406979,No,25113,0.23772548082666348,No,24534,0.5090894269177468,Yes,25156,0.6010096994752743,Yes,25419,0.7692277430268697,Yes,3,0,0,0,1,1,1,1,1,1,1,7
Colusa,3393,3338,2841,3786,2778,3953,1905,4812,1759,4895,2181,4574,1841,4923,3607,2972,4282,2413,5323,1432,6731,0.5040855742088842,Yes,6627,0.428700769578995,No,6731,0.4127172782647452,No,6717,0.2836087539079946,No,6654,0.2643522693116922,No,6755,0.3228719467061436,No,6764,0.27217622708456535,No,6579,0.5482596139230886,Yes,6695,0.6395817774458551,Yes,6755,0.7880088823094005,Yes,4,1,0,0,1,1,1,1,1,1,1,8
Contra Costa,321784,186744,354545,153595,337764,178077,237348,273282,240211,258184,296664,213084,196222,311377,248938,244462,367541,135859,358471,154181,508528,0.6327753830664191,Yes,508140,0.6977309402920455,Yes,515841,0.6547831599271868,Yes,510630,0.46481405322836494,No,498395,0.48196912087801846,No,509748,0.5819816850679159,Yes,507599,0.3865689254706964,No,493400,0.5045358735306039,Yes,503400,0.7301172030194676,Yes,512652,0.6992482229660667,Yes,7,1,1,1,1,1,0,1,1,1,1,9
Del Norte,4300,5836,4819,5432,4609,5608,3467,6643,3231,6808,3722,6470,3140,6866,3458,6303,5253,4859,7285,2915,10136,0.42423046566692973,No,10251,0.4701004780021461,No,10217,0.4511108936086914,No,10110,0.3429277942631058,No,10039,0.321844805259488,No,10192,0.3651883830455259,No,10006,0.31381171297221666,No,9761,0.3542669808421268,No,10112,0.5194818037974683,Yes,10200,0.7142156862745098,Yes,2,0,0,0,1,1,1,1,0,1,1,6
El Dorado,49553,57849,56464,50746,46996,60648,29998,76769,32950,72675,33740,74008,27330,78800,51949,51101,64751,41275,80175,27185,107402,0.4613787452747621,No,107210,0.5266672884992072,Yes,107644,0.4365872691464457,No,106767,0.2809669654481254,No,105625,0.3119526627218935,No,107748,0.3131380628874782,No,106130,0.257514369169886,No,103050,0.504114507520621,Yes,106026,0.6107086940939015,Yes,107360,0.7467865126676602,Yes,4,0,1,0,1,1,1,1,1,1,1,8
Fresno,169114,145387,155136,159795,170409,145506,122025,191417,111612,198766,122634,194985,114785,196571,163333,141316,202757,108550,236650,77666,314501,0.5377216606624462,Yes,314931,0.49260314164054986,No,315915,0.5394140829020464,Yes,313442,0.38930647456307704,No,310378,0.35960022939770214,No,317619,0.3861041058626845,No,311356,0.36866159637199863,No,304649,0.5361350275234779,Yes,311307,0.6513088366146601,Yes,314316,0.7529047200906095,Yes,5,1,0,1,1,1,1,1,1,1,1,9
Glenn,4689,5312,4149,5835,3994,6071,2790,7221,2643,7229,2886,7213,2522,7484,5318,4503,6357,3569,8026,2020,10001,0.46885311468853114,No,9984,0.41556490384615385,No,10065,0.3968206656731247,No,10011,0.27869343721905904,No,9872,0.267726904376013,No,10099,0.2857708684028122,No,10006,0.2520487707375575,No,9821,0.5414927196823134,Yes,9926,0.6404392504533548,Yes,10046,0.7989249452518415,Yes,3,0,0,0,1,1,1,1,1,1,1,7
Humboldt,37335,24430,44423,17921,39035,23033,30836,30274,32292,28341,32008,29799,26555,33679,24785,33375,44332,16887,34571,26600,61765,0.6044685501497612,Yes,62344,0.7125465161041961,Yes,62068,0.6289070052200812,Yes,61110,0.5045982654230077,Yes,60633,0.53258126762654,Yes,61807,0.5178701441584287,Yes,60234,0.4408639638742239,No,58160,0.4261519944979367,No,61219,0.724154265832503,Yes,61171,0.5651534223733469,Yes,8,1,1,1,0,0,0,1,0,1,1,6
Imperial,32060,20357,25454,26829,31253,21088,25184,27022,19988,32026,29254,23445,22981,28736,27352,23750,35941,15700,39781,12161,52417,0.611633630310777,Yes,52283,0.48685041026719966,No,52341,0.5971036090254294,Yes,52206,0.48239665938780985,No,52014,0.38428115507363403,No,52699,0.5551148978158978,Yes,51717,0.4443606551037376,No,51102,0.5352432390121717,Yes,51641,0.6959780019751748,Yes,51942,0.7658734742597513,Yes,6,1,0,1,1,1,0,1,1,1,1,8
