"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error","Butte County, California!!Estimate","Butte County, California!!Margin of Error","Butte County, California!!Percent","Butte County, California!!Percent Margin of Error","Contra Costa County, California!!Estimate","Contra Costa County, California!!Margin of Error","Contra Costa County, California!!Percent","Contra Costa County, California!!Percent Margin of Error","El Dorado County, California!!Estimate","El Dorado County, California!!Margin of Error","El Dorado County, California!!Percent","El Dorado County, California!!Percent Margin of Error","Fresno County, California!!Estimate","Fresno County, California!!Margin of Error","Fresno County, California!!Percent","Fresno County, California!!Percent Margin of Error","Humboldt County, California!!Estimate","Humboldt County, California!!Margin of Error","Humboldt County, California!!Percent","Humboldt County, California!!Percent Margin of Error","Imperial County, California!!Estimate","Imperial County, California!!Margin of Error","Imperial County, California!!Percent","Imperial County, California!!Percent Margin of Error","Kern County, California!!Estimate","Kern County, California!!Margin of Error","Kern County, California!!Percent","Kern County, California!!Percent Margin of Error","Kings County, California!!Estimate","Kings County, California!!Margin of Error","Kings County, California!!Percent","Kings County, California!!Percent Margin of Error","Lake County, California!!Estimate","Lake County, California!!Margin of Error","Lake County, California!!Percent","Lake County, California!!Percent Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error","Madera County, California!!Estimate","Madera County, California!!Margin of Error","Madera County, California!!Percent","Madera County, California!!Percent Margin of Error","Marin County, California!!Estimate","Marin County, California!!Margin of Error","Marin County, California!!Percent","Marin County, California!!Percent Margin of Error","Mendocino County, California!!Estimate","Mendocino County, California!!Margin of Error","Mendocino County, California!!Percent","Mendocino County, California!!Percent Margin of Error","Merced County, California!!Estimate","Merced County, California!!Margin of Error","Merced County, California!!Percent","Merced County, California!!Percent Margin of Error","Monterey County, California!!Estimate","Monterey County, California!!Margin of Error","Monterey County, California!!Percent","Monterey County, California!!Percent Margin of Error","Napa County, California!!Estimate","Napa County, California!!Margin of Error","Napa County, California!!Percent","Napa County, California!!Percent Margin of Error","Nevada County, California!!Estimate","Nevada County, California!!Margin of Error","Nevada County, California!!Percent","Nevada County, California!!Percent Margin of Error","Orange County, California!!Estimate","Orange County, California!!Margin of Error","Orange County, California!!Percent","Orange County, California!!Percent Margin of Error","Placer County, California!!Estimate","Placer County, California!!Margin of Error","Placer County, California!!Percent","Placer County, California!!Percent Margin of Error","Riverside County, California!!Estimate","Riverside County, California!!Margin of Error","Riverside County, California!!Percent","Riverside County, California!!Percent Margin of Error","Sacramento County, California!!Estimate","Sacramento County, California!!Margin of Error","Sacramento County, California!!Percent","Sacramento County, California!!Percent Margin of Error","San Benito County, California!!Estimate","San Benito County, California!!Margin of Error","San Benito County, California!!Percent","San Benito County, California!!Percent Margin of Error","San Bernardino County, California!!Estimate","San Bernardino County, California!!Margin of Error","San Bernardino County, California!!Percent","San Bernardino County, California!!Percent Margin of Error","San Diego County, California!!Estimate","San Diego County, California!!Margin of Error","San Diego County, California!!Percent","San Diego County, California!!Percent Margin of Error","San Francisco County, California!!Estimate","San Francisco County, California!!Margin of Error","San Francisco County, California!!Percent","San Francisco County, California!!Percent Margin of Error","San Joaquin County, California!!Estimate","San Joaquin County, California!!Margin of Error","San Joaquin County, California!!Percent","San Joaquin County, California!!Percent Margin of Error","San Luis Obispo County, California!!Estimate","San Luis Obispo County, California!!Margin of Error","San Luis Obispo County, California!!Percent","San Luis Obispo County, California!!Percent Margin of Error","San Mateo County, California!!Estimate","San Mateo County, California!!Margin of Error","San Mateo County, California!!Percent","San Mateo County, California!!Percent Margin of Error","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Margin of Error","Santa Barbara County, California!!Percent","Santa Barbara County, California!!Percent Margin of Error","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Santa Clara County, California!!Percent","Santa Clara County, California!!Percent Margin of Error","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Margin of Error","Santa Cruz County, California!!Percent","Santa Cruz County, California!!Percent Margin of Error","Shasta County, California!!Estimate","Shasta County, California!!Margin of Error","Shasta County, California!!Percent","Shasta County, California!!Percent Margin of Error","Solano County, California!!Estimate","Solano County, California!!Margin of Error","Solano County, California!!Percent","Solano County, California!!Percent Margin of Error","Sonoma County, California!!Estimate","Sonoma County, California!!Margin of Error","Sonoma County, California!!Percent","Sonoma County, California!!Percent Margin of Error","Stanislaus County, California!!Estimate","Stanislaus County, California!!Margin of Error","Stanislaus County, California!!Percent","Stanislaus County, California!!Percent Margin of Error","Sutter County, California!!Estimate","Sutter County, California!!Margin of Error","Sutter County, California!!Percent","Sutter County, California!!Percent Margin of Error","Tehama County, California!!Estimate","Tehama County, California!!Margin of Error","Tehama County, California!!Percent","Tehama County, California!!Percent Margin of Error","Tulare County, California!!Estimate","Tulare County, California!!Margin of Error","Tulare County, California!!Percent","Tulare County, California!!Percent Margin of Error","Ventura County, California!!Estimate","Ventura County, California!!Margin of Error","Ventura County, California!!Percent","Ventura County, California!!Percent Margin of Error","Yolo County, California!!Estimate","Yolo County, California!!Margin of Error","Yolo County, California!!Percent","Yolo County, California!!Percent Margin of Error","Yuba County, California!!Estimate","Yuba County, California!!Margin of Error","Yuba County, California!!Percent","Yuba County, California!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","612,675","±4,169","612,675","(X)","85,034","±1,914","85,034","(X)","417,686","±2,837","417,686","(X)","79,852","±1,891","79,852","(X)","331,460","±2,670","331,460","(X)","55,558","±1,554","55,558","(X)","51,165","±1,316","51,165","(X)","292,654","±2,694","292,654","(X)","45,561","±1,015","45,561","(X)","27,912","±1,460","27,912","(X)","3,485,810","±9,476","3,485,810","(X)","47,641","±1,369","47,641","(X)","101,974","±1,867","101,974","(X)","35,865","±1,405","35,865","(X)","87,632","±1,434","87,632","(X)","132,591","±1,848","132,591","(X)","49,477","±1,365","49,477","(X)","44,052","±1,797","44,052","(X)","1,098,129","±5,919","1,098,129","(X)","164,093","±2,629","164,093","(X)","797,569","±5,613","797,569","(X)","578,787","±3,224","578,787","(X)","21,057","±536","21,057","(X)","687,092","±3,941","687,092","(X)","1,185,092","±6,462","1,185,092","(X)","371,841","±4,793","371,841","(X)","252,693","±2,474","252,693","(X)","111,382","±2,236","111,382","(X)","266,249","±3,329","266,249","(X)","150,509","±2,418","150,509","(X)","672,426","±3,786","672,426","(X)","97,918","±1,914","97,918","(X)","72,380","±2,051","72,380","(X)","160,415","±1,865","160,415","(X)","193,185","±2,217","193,185","(X)","181,365","±1,181","181,365","(X)","32,642","±980","32,642","(X)","25,312","±956","25,312","(X)","147,315","±2,183","147,315","(X)","282,950","±2,438","282,950","(X)","77,486","±1,663","77,486","(X)","30,250","±700","30,250","(X)"
"        Married-couple household","296,239","±6,833","48.4%","±1.1","32,463","±2,540","38.2%","±2.8","229,301","±5,379","54.9%","±1.3","46,555","±2,558","58.3%","±2.9","151,752","±5,495","45.8%","±1.6","20,369","±2,122","36.7%","±3.7","25,552","±2,020","49.9%","±4.0","140,162","±4,743","47.9%","±1.6","22,748","±2,179","49.9%","±4.5","9,329","±1,778","33.4%","±6.5","1,486,121","±19,055","42.6%","±0.5","24,280","±2,134","51.0%","±4.2","51,328","±3,234","50.3%","±3.1","13,881","±1,631","38.7%","±4.4","39,707","±2,395","45.3%","±2.7","65,639","±3,199","49.5%","±2.3","24,808","±1,803","50.1%","±3.5","22,031","±2,099","50.0%","±4.4","577,537","±10,539","52.6%","±0.9","96,084","±3,839","58.6%","±2.2","423,440","±8,035","53.1%","±0.9","263,702","±6,878","45.6%","±1.2","12,731","±1,179","60.5%","±5.5","342,506","±7,402","49.8%","±1.1","579,899","±9,898","48.9%","±0.8","121,659","±5,956","32.7%","±1.5","131,591","±4,374","52.1%","±1.7","56,875","±3,526","51.1%","±2.8","141,195","±4,708","53.0%","±1.7","70,904","±3,043","47.1%","±2.0","360,698","±8,201","53.6%","±1.2","42,656","±2,626","43.6%","±2.7","35,352","±2,182","48.8%","±3.1","78,144","±3,596","48.7%","±2.2","90,679","±3,619","46.9%","±1.8","89,102","±4,364","49.1%","±2.4","17,918","±1,827","54.9%","±5.5","11,550","±1,637","45.6%","±6.0","74,199","±3,174","50.4%","±2.0","152,609","±4,727","53.9%","±1.5","35,154","±2,149","45.4%","±2.7","15,465","±1,863","51.1%","±5.9"
"            With children of the householder under 18 years","124,983","±4,224","20.4%","±0.7","12,894","±1,719","15.2%","±2.0","93,498","±3,920","22.4%","±0.9","16,778","±1,805","21.0%","±2.2","68,944","±4,237","20.8%","±1.3","6,635","±1,318","11.9%","±2.4","10,424","±1,721","20.4%","±3.3","62,227","±3,981","21.3%","±1.4","10,750","±1,488","23.6%","±3.2","3,541","±1,167","12.7%","±4.1","554,632","±11,005","15.9%","±0.3","9,899","±1,544","20.8%","±3.2","18,877","±2,165","18.5%","±2.1","4,912","±1,302","13.7%","±3.5","17,443","±2,022","19.9%","±2.3","26,137","±2,164","19.7%","±1.6","8,644","±1,333","17.5%","±2.6","6,271","±1,115","14.2%","±2.5","228,961","±7,096","20.9%","±0.6","39,462","±2,884","24.0%","±1.7","168,713","±6,548","21.2%","±0.8","109,859","±4,975","19.0%","±0.9","4,725","±964","22.4%","±4.5","140,696","±6,176","20.5%","±0.9","229,502","±7,369","19.4%","±0.6","42,758","±3,442","11.5%","±0.9","58,468","±3,761","23.1%","±1.5","19,654","±2,232","17.6%","±1.9","56,648","±3,511","21.3%","±1.3","25,712","±2,089","17.1%","±1.4","148,948","±5,387","22.2%","±0.8","14,550","±1,590","14.9%","±1.6","13,422","±1,793","18.5%","±2.5","25,826","±2,150","16.1%","±1.3","32,543","±2,400","16.8%","±1.2","39,341","±3,098","21.7%","±1.7","7,532","±1,482","23.1%","±4.5","4,259","±978","16.8%","±3.7","33,657","±2,635","22.8%","±1.7","55,895","±2,967","19.8%","±1.0","14,692","±1,332","19.0%","±1.8","7,583","±1,404","25.1%","±4.5"
"        Cohabiting couple household","40,682","±3,243","6.6%","±0.5","9,354","±1,410","11.0%","±1.7","28,553","±3,029","6.8%","±0.7","5,082","±1,167","6.4%","±1.5","28,425","±3,455","8.6%","±1.0","6,236","±1,326","11.2%","±2.3","2,587","±1,014","5.1%","±2.0","30,044","±3,823","10.3%","±1.3","4,118","±1,307","9.0%","±2.9","1,200","±630","4.3%","±2.3","290,585","±9,310","8.3%","±0.3","4,576","±1,196","9.6%","±2.5","6,333","±1,599","6.2%","±1.6","3,020","±1,030","8.4%","±2.9","9,097","±1,612","10.4%","±1.8","12,352","±1,716","9.3%","±1.3","2,767","±770","5.6%","±1.6","3,323","±1,302","7.5%","±2.9","74,947","±6,257","6.8%","±0.6","8,922","±1,737","5.4%","±1.0","55,109","±4,214","6.9%","±0.5","46,669","±3,934","8.1%","±0.7","1,658","±632","7.9%","±3.0","58,289","±5,141","8.5%","±0.7","93,869","±5,682","7.9%","±0.5","32,998","±2,887","8.9%","±0.8","21,551","±2,995","8.5%","±1.2","8,555","±1,750","7.7%","±1.5","18,322","±2,480","6.9%","±0.9","13,570","±2,029","9.0%","±1.3","44,206","±3,741","6.6%","±0.6","8,898","±1,693","9.1%","±1.7","3,917","±1,249","5.4%","±1.7","10,491","±1,666","6.5%","±1.0","16,477","±2,368","8.5%","±1.2","16,881","±2,544","9.3%","±1.4","1,647","±679","5.0%","±2.1","2,594","±756","10.2%","±2.9","13,757","±1,848","9.3%","±1.2","19,505","±2,602","6.9%","±0.9","4,483","±1,272","5.8%","±1.6","2,519","±1,116","8.3%","±3.7"
"            With children of the householder under 18 years","9,610","±1,921","1.6%","±0.3","2,036","±801","2.4%","±0.9","8,726","±2,303","2.1%","±0.5","1,296","±645","1.6%","±0.8","14,010","±2,491","4.2%","±0.8","1,993","±757","3.6%","±1.4","1,243","±727","2.4%","±1.4","17,251","±2,616","5.9%","±0.9","1,981","±856","4.3%","±1.9","1,065","±616","3.8%","±2.2","97,328","±5,554","2.8%","±0.2","2,971","±977","6.2%","±2.0","1,622","±909","1.6%","±0.9","772","±446","2.2%","±1.2","4,360","±1,422","5.0%","±1.6","6,206","±1,523","4.7%","±1.1","886","±500","1.8%","±1.0","1,309","±892","3.0%","±2.0","21,458","±2,957","2.0%","±0.3","3,161","±1,120","1.9%","±0.7","21,357","±2,425","2.7%","±0.3","12,416","±1,964","2.1%","±0.3","1,006","±527","4.8%","±2.5","29,338","±3,891","4.3%","±0.6","24,308","±2,961","2.1%","±0.2","2,040","±881","0.5%","±0.2","11,827","±2,238","4.7%","±0.9","2,071","±913","1.9%","±0.8","4,877","±1,313","1.8%","±0.5","6,593","±1,456","4.4%","±0.9","11,162","±2,061","1.7%","±0.3","1,588","±682","1.6%","±0.7","1,902","±948","2.6%","±1.3","3,810","±1,302","2.4%","±0.8","5,153","±1,317","2.7%","±0.7","7,773","±1,727","4.3%","±0.9","432","±377","1.3%","±1.2","1,312","±613","5.2%","±2.4","7,516","±1,713","5.1%","±1.2","8,269","±1,811","2.9%","±0.6","1,312","±880","1.7%","±1.1","791","±634","2.6%","±2.1"
"        Male householder, no spouse/partner present","112,473","±5,114","18.4%","±0.8","17,934","±1,914","21.1%","±2.2","58,002","±3,925","13.9%","±0.9","11,918","±1,460","14.9%","±1.8","59,515","±3,683","18.0%","±1.1","12,173","±1,369","21.9%","±2.4","9,123","±1,671","17.8%","±3.1","47,457","±3,414","16.2%","±1.1","7,671","±1,509","16.8%","±3.4","7,152","±1,248","25.6%","±4.0","690,774","±12,428","19.8%","±0.4","6,855","±1,532","14.4%","±3.2","15,864","±2,045","15.6%","±1.9","8,065","±1,366","22.5%","±3.7","16,151","±1,891","18.4%","±2.1","21,220","±1,882","16.0%","±1.4","8,878","±1,387","17.9%","±2.7","7,886","±1,277","17.9%","±2.8","176,804","±7,992","16.1%","±0.7","21,522","±2,383","13.1%","±1.5","126,171","±5,413","15.8%","±0.7","100,105","±5,072","17.3%","±0.9","3,058","±676","14.5%","±3.2","108,052","±5,050","15.7%","±0.7","215,792","±7,023","18.2%","±0.6","101,347","±3,598","27.3%","±1.0","39,972","±3,537","15.8%","±1.4","18,178","±2,351","16.3%","±2.2","42,957","±2,751","16.1%","±1.0","25,034","±2,156","16.6%","±1.4","118,956","±4,732","17.7%","±0.7","18,573","±2,288","19.0%","±2.3","13,280","±1,682","18.3%","±2.1","28,820","±2,595","18.0%","±1.6","33,152","±2,784","17.2%","±1.4","28,448","±2,814","15.7%","±1.5","5,494","±1,284","16.8%","±3.9","4,061","±1,072","16.0%","±4.2","23,485","±2,252","15.9%","±1.5","40,336","±3,013","14.3%","±1.1","14,583","±1,782","18.8%","±2.3","5,660","±1,226","18.7%","±4.1"
"            With children of the householder under 18 years","7,507","±1,645","1.2%","±0.3","1,487","±782","1.7%","±0.9","3,334","±1,070","0.8%","±0.3","1,084","±489","1.4%","±0.6","6,906","±1,693","2.1%","±0.5","544","±316","1.0%","±0.6","519","±494","1.0%","±1.0","4,137","±1,310","1.4%","±0.4","910","±588","2.0%","±1.3","767","±590","2.7%","±2.1","37,035","±3,856","1.1%","±0.1","1,249","±939","2.6%","±2.0","1,103","±747","1.1%","±0.7","458","±497","1.3%","±1.4","352","±353","0.4%","±0.4","1,532","±912","1.2%","±0.7","417","±458","0.8%","±0.9","673","±499","1.5%","±1.1","12,847","±2,279","1.2%","±0.2","1,158","±587","0.7%","±0.4","11,564","±2,167","1.4%","±0.3","6,450","±1,390","1.1%","±0.2","58","±112","0.3%","±0.5","10,390","±1,989","1.5%","±0.3","13,339","±2,559","1.1%","±0.2","2,393","±731","0.6%","±0.2","4,280","±1,369","1.7%","±0.5","564","±391","0.5%","±0.4","2,787","±951","1.0%","±0.4","1,421","±602","0.9%","±0.4","5,632","±1,228","0.8%","±0.2","1,376","±662","1.4%","±0.7","1,815","±736","2.5%","±1.0","2,094","±994","1.3%","±0.6","3,520","±1,416","1.8%","±0.7","3,326","±1,121","1.8%","±0.6","562","±496","1.7%","±1.5","417","±390","1.6%","±1.5","2,902","±1,005","2.0%","±0.7","2,602","±962","0.9%","±0.3","1,382","±908","1.8%","±1.2","542","±520","1.8%","±1.7"
"            Householder living alone","72,951","±4,340","11.9%","±0.7","11,250","±1,626","13.2%","±1.9","40,080","±3,710","9.6%","±0.9","8,157","±1,295","10.2%","±1.6","34,659","±3,220","10.5%","±1.0","8,983","±1,225","16.2%","±2.1","6,691","±1,584","13.1%","±3.0","27,764","±2,870","9.5%","±1.0","4,414","±1,189","9.7%","±2.6","4,939","±1,249","17.7%","±4.2","431,838","±10,446","12.4%","±0.3","3,715","±1,147","7.8%","±2.4","9,363","±1,308","9.2%","±1.3","6,219","±1,418","17.3%","±3.8","10,180","±1,417","11.6%","±1.6","11,966","±1,691","9.0%","±1.3","6,602","±1,334","13.3%","±2.6","5,624","±1,071","12.8%","±2.5","100,135","±6,301","9.1%","±0.6","14,269","±2,098","8.7%","±1.3","71,453","±4,426","9.0%","±0.5","64,714","±4,127","11.2%","±0.7","1,049","±372","5.0%","±1.7","60,005","±4,229","8.7%","±0.6","136,577","±6,936","11.5%","±0.6","74,678","±4,118","20.1%","±1.1","22,088","±2,679","8.7%","±1.1","11,088","±2,025","10.0%","±1.8","29,157","±2,639","11.0%","±0.9","14,762","±2,113","9.8%","±1.4","73,574","±3,647","10.9%","±0.5","11,898","±1,735","12.2%","±1.7","9,217","±1,483","12.7%","±2.0","19,702","±2,556","12.3%","±1.6","21,533","±2,188","11.1%","±1.1","14,773","±2,133","8.1%","±1.2","3,739","±1,124","11.5%","±3.4","2,526","±942","10.0%","±3.8","12,303","±1,708","8.4%","±1.2","24,275","±2,263","8.6%","±0.8","7,742","±1,311","10.0%","±1.7","2,927","±947","9.7%","±3.1"
"                65 years and over","20,483","±2,004","3.3%","±0.3","4,301","±953","5.1%","±1.1","13,768","±2,023","3.3%","±0.5","3,924","±889","4.9%","±1.1","10,160","±1,601","3.1%","±0.5","2,925","±676","5.3%","±1.2","1,466","±666","2.9%","±1.3","9,011","±1,364","3.1%","±0.5","1,575","±620","3.5%","±1.4","2,251","±590","8.1%","±2.0","112,999","±5,305","3.2%","±0.2","1,302","±421","2.7%","±0.9","5,868","±1,052","5.8%","±1.0","1,952","±789","5.4%","±2.2","3,463","±965","4.0%","±1.1","5,962","±1,350","4.5%","±1.0","2,545","±722","5.1%","±1.4","3,524","±894","8.0%","±2.0","30,997","±2,864","2.8%","±0.3","5,661","±1,272","3.4%","±0.8","31,716","±2,843","4.0%","±0.4","20,163","±1,904","3.5%","±0.3","777","±347","3.7%","±1.6","19,145","±2,389","2.8%","±0.3","40,888","±3,445","3.5%","±0.3","16,047","±2,030","4.3%","±0.5","8,482","±1,517","3.4%","±0.6","4,343","±1,102","3.9%","±1.0","8,480","±1,407","3.2%","±0.5","5,492","±1,176","3.6%","±0.8","17,450","±1,994","2.6%","±0.3","4,903","±1,010","5.0%","±1.0","3,541","±802","4.9%","±1.1","5,579","±1,068","3.5%","±0.7","9,604","±1,323","5.0%","±0.7","6,321","±1,240","3.5%","±0.7","1,658","±994","5.1%","±3.0","724","±389","2.9%","±1.5","4,086","±762","2.8%","±0.5","8,770","±1,355","3.1%","±0.5","2,329","±719","3.0%","±0.9","1,301","±527","4.3%","±1.8"
